Term,Coefficient
d^2u/dx1^2,0.19485726154970506
d^2u/dx1^2,0.20651557127754633
d^2u/dx0^2,-0.1228273420148533
d^2u/dx1^2,0.1912434777376687
d^2u/dx1^2,0.19236579801223527
d^2u/dx0^2,0.003998660761438654
d^2u/dx1^2,0.19148832073546163
d^2u/dx0^2,0.004591164051085217
d^2u/dx1^2,0.19148832073546165
d^2u/dx0^2,0.004591164051084904
d^2u/dx1^2,0.191243477737663
d^2u/dx1^2,0.19148832073546163
d^2u/dx0^2,0.004591164051085217
d^2u/dx1^2,0.19124347773766284
d^2u/dx0^2,0.049224043898138184
d^2u/dx1^2,-0.01564700540106627
d^2u/dx0^2,0.04922404389813808
d^2u/dx0^2,0.04922404389813808
d^2u/dx0^2,0.04922404389813815
d^2u/dx1^2,0.19148832073557642
d^2u/dx0^2,0.004591164051079074
d^2u/dx1^2,0.20651557127754616
d^2u/dx0^2,-0.12282734201485013
d^2u/dx1^2,0.1914883207355644
d^2u/dx0^2,0.004591164051081008
d^2u/dx1^2,0.19485726154970506
d^2u/dx1^2,0.19105896102361553
d^2u/dx1^2,0.19124347773766284
d^2u/dx1^2,0.20674628129261433
d^2u/dx0^2,-0.12588976442934643
d^2u/dx1^2,0.1923657980122352
d^2u/dx0^2,0.0039986607614385244
d^2u/dx1^2,0.19185328236288476
d^2u/dx1^2,0.19148832073546163
d^2u/dx0^2,0.004591164051085217
d^2u/dx1^2,0.2065155712775456
d^2u/dx0^2,-0.12282734201485301
d^2u/dx1^2,0.1914883207355644
d^2u/dx0^2,0.004591164051081008
d^2u/dx1^2,-0.0003744821641111368
d^2u/dx1^2,0.0007325186524237682
d^2u/dx0^2,-0.0003189164625209516
d^2u/dx0^2,0.0037423966964868164
d^2u/dx1^2,-0.014788968111289246
d^2u/dx0^2,-0.003367210184109796
d^2u/dx0^2,-0.03627523877751392
d^2u/dx1^2,0.1910589610236204
d^2u/dx1^2,0.20651557127754622
d^2u/dx0^2,-0.12282734201485075
d^2u/dx0^2,0.049224043898138184
d^2u/dx0^2,0.049224043898138184
d^2u/dx0^2,0.049224043898141744
d^2u/dx1^2,-0.0003744821641114652
d^2u/dx1^2,0.1923657980122352
d^2u/dx0^2,0.0039986607614385244
d^2u/dx1^2,0.19236579801223483
d^2u/dx0^2,0.00399866076143902
d^2u/dx1^2,0.19236579801223483
d^2u/dx0^2,0.00399866076143902
d^2u/dx1^2,0.17283639794908934
d^2u/dx0^2,0.0036536060534716097
d^2u/dx1^2,0.19148832073557642
d^2u/dx0^2,0.004591164051079074
d^2u/dx1^2,0.19148832073546165
d^2u/dx0^2,0.004591164051084904
d^2u/dx1^2,0.19287216183980047
d^2u/dx1^2,0.19148832073546163
d^2u/dx0^2,0.004591164051085217
d^2u/dx1^2,-0.015647005401066266
d^2u/dx1^2,-0.015647005401066266
d^2u/dx0^2,-0.03627523877751376
d^2u/dx1^2,0.0007325186524232775
d^2u/dx0^2,-0.0003189164625192859
d^2u/dx1^2,0.04235803082647385
d^2u/dx1^2,0.19124347773766284
d^2u/dx1^2,0.19236579801223447
d^2u/dx0^2,0.003998660761438521
d^2u/dx0^2,0.049224043898141744
d^2u/dx1^2,0.19148832073546165
d^2u/dx0^2,0.004591164051084904
d^2u/dx1^2,0.20651557127754616
d^2u/dx0^2,-0.12282734201485061
d^2u/dx1^2,0.19124347773766853
d^2u/dx1^2,0.19236579801223536
d^2u/dx0^2,0.003998660761438711
d^2u/dx1^2,0.000732518652423981
d^2u/dx0^2,-0.0003189164625210003
d^2u/dx0^2,0.0037423966964868164
d^2u/dx1^2,-0.00037448216411168684
d^2u/dx1^2,-0.01564700540106329
d^2u/dx0^2,0.0037423966964868164
d^2u/dx1^2,0.19485726154970487
d^2u/dx1^2,-0.015647005401066172
d^2u/dx1^2,-0.014788968111288424
d^2u/dx0^2,-0.003367210184109927
d^2u/dx1^2,0.0005248629185506382
d^2u/dx1^2,-0.015583714772685303
