Term,Coefficient
du/dx0,-0.05305839292488594
u,0.017160451304320444
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.21309544422822996
d^2u/dx0^2,-1.0
u,-2.7030897058606893
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-1.0
u,0.2237141367122671
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2151607573406515
d^2u/dx0^2,-1.0
u,-2.702954599405884
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051086
d^2u/dx0^2,-1.0
u,-2.7023417548407447
du/dx0,-0.2154080337051091
d^2u/dx0^2,-1.0
u,-2.702341754840744
du/dx0,-0.2154080337051091
