Term,Coefficient
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
d^2u/dx0^2,-1.0
u,-2.696452114928808
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
d^2u/dx0^2,-1.0
u,-2.696452114928808
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
d^2u/dx0^2,-1.0
u,-2.686267825350535
d^2u/dx0^2,-1.0
u,-2.686267825350535
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.04894767603548782
u,0.019884168272878373
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.2169096014690209
d^2u/dx0^2,-1.0
u,-2.694425494456059
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
d^2u/dx0^2,-1.0
u,-2.696452114928808
du/dx0,-0.21690960146902047
d^2u/dx0^2,-1.0
u,-2.694425494456058
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
d^2u/dx0^2,-1.0
u,-2.686267825350535
d^2u/dx0^2,-1.0
u,-2.696452114928808
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21532678937547095
d^2u/dx0^2,-1.0
u,-2.696178482392911
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21690960146901953
d^2u/dx0^2,-1.0
u,-2.6944254944560586
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332207
d^2u/dx0^2,-1.0
u,-2.695904406758057
du/dx0,-0.21630183710332151
d^2u/dx0^2,-1.0
u,-2.6959044067580593
du/dx0,-0.21690960146901953
d^2u/dx0^2,-1.0
u,-2.6944254944560586
