Term,Coefficient
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
u,-0.48594570600523845
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
u,-0.485945706005238
du/dx0,-1.0
d^2u/dx0^2,-0.9358163329511279
u,-0.38709423111628594
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9358163329511262
u,-0.3870942311162862
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9358163329511267
u,-0.38709423111628705
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
u,-0.5170777362735112
du/dx0,-1.0
u,-0.5170777362735115
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9358163329511268
u,-0.38709423111628716
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9358163329511268
u,-0.38709423111628616
du/dx0,-1.0
u,-0.4869262775848059
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9358163329511279
u,-0.38709423111628594
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147369
u,-0.386387146744243
du/dx0,-1.0
d^2u/dx0^2,-0.9370666326147368
u,-0.386387146744243
du/dx0,-1.0
